original_fault_type,brand,age,problem,fault_type
Storage problem,Samsung,7,"eMMC memory defective, device very slow. Owner had supplied a replacement mainboard. After the exchange everything worked except the camera. He does a FW update at home and comes back if the camera doesn't work.",Rear Camera Issues
Screen,Apple,unknown_age,Broken Screen; Antenna Connection broken,Screen damage
Power/battery,Samsung,5,doesn't charge,Battery issues
Unknown,Samsung,5,"not working, unknown",Other damage
Unknown,Samsung,7,"not working, unknown",Other damage
Unknown,Samsung,5,"not working, unknown",Other damage
Unknown,Samsung,7,"not working, unknown",Other damage
USB/charging port,Samsung,5,Not charging,Charge port issue
USB/charging port,Samsung,5,not charging,Charge port issue
Power/battery,Apple,5,Battery change,Battery
USB/charging port,Apple,5,Foreign object in charging port,Other damage
Unknown,Apple,4,Won't turn on,Other damage
Other,Samsung,4,Doesn't remember security code,Other damage
Other,Apple,5,Needs help with backup,Other damage
Other,Apple,5,iPhone 6 presents with reported water damage. Owner says they opened it up themselves to try to dry it up and did not turn it on thereafter.Found water damage on motherboard - requires microsoldering. Referred to professional,Other damage
Screen,Apple,5,iPhone 6 with cracked digitiser. Replaced. Touch ID non functional. Replaced digitiser,Screen damage
Camera,Apple,3,"iPhone 6s Plus with unstable, shaky camera. Came for camera replacement. Camera replaced. Back to normal functionality. Might have cracked the screen while opening up the device",Screen damage
Screen,Samsung,2,Cracked digitiser. Replaced screen.,Display issues
Other,Apple,8,"iPhone 4S (black) with damaged (possible water damage) front-facing camera and home button. The led light is also permanently lit dimly draining the battery even when the phone is switched off. A spare iPhone4S (white) with an iCloud locked logic board was used for spare parts. The logic board from both phones were removed and swapped over, thus two non-working phones were converted into one working phone. The current secondhand retail price on a working iPhone4S is about £30 making the price on replacement parts prohibitively high, salvaging from another iPhone is the best option. IFixit was used as a take apart guide. The Battery removal tab was accidentally allowed to get trapped under the logic board on the fixed phone. The effort of removing the logic board again on discovery was considered not worth it. ooo-xxx",Battery
Screen,Samsung,unknown_age,Display defective,Display issues
Power/battery,Samsung,unknown_age,Akku defekt,Battery issues
USB/charging port,Samsung,unknown_age,charging socket,Charge port issue
Screen,Apple,4,New screen needed,Screen damage
Screen,Samsung,2,The screen was partly dead. After ordering a new screen it was fixed.,Display issues
Screen,Apple,2,"Cracked digitizer few days ago, used for a few months only. Ordered new screen assembly",Screen damage
Screen,Apple,3,"Cracked digitizer 4 months ago, screen repaired by 3rd part, Bad battery health(66%). Ordered new screen assembly",Screen damage
Power/battery,Samsung,4,"Second hand phone, user requests new battery. Battery ordered",Battery issues
Unknown,Apple,unknown_age,to,Other damage
Power/battery,Apple,5,"The owner of an “iPhone 5s” smartphone had already replaced the battery at home, but unfortunately the device no longer started. He checked all the plug connections and that didn't make any difference. We suspected that the battery was not sufficiently charged and recommended charging it for some time.",Battery
Other,Apple,unknown_age,Broken screw,Other damage
Sim card slot,Samsung,1,Contact on sim card was dirty,Other damage
Screen,Apple,1,New screen,Screen damage
Screen,Apple,5,Broken screen,Screen damage
Screen,Samsung,3,Broken screen,Display issues
Screen,Apple,2,Broken screen,Screen damage
Other buttons,Samsung,4,Button has slow reaction,Other damage
Screen,Apple,2,Broken screen,Screen damage
Power/battery,Apple,5,The battery of an “Apple iPhone 4” was once again deeply discharged. So much so that it was no longer possible to shop. The only thing that helps is a new battery. The guest comes back with the new one.,Battery
Liquid damage,Apple,unknown_age,Water damage,Other damage
Liquid damage,Apple,4,Water damage,Other damage
Camera,Apple,2,Camera exhibit is classic shaking issue. Order camera replacement,Rear camera damage
Other buttons,Apple,5,Unresponsive home button. Order new home button and screen,Screen damage
Screen,Samsung,1,Cracked screen after dropping it. Customer prefer not to repair,Display issues
Screen,Samsung,1,"Cracked Screen., Customer prefers not to repair",Display issues
Power/battery,Samsung,4,Battery replacement,Battery issues
Camera,Apple,2,"Device is second hand from a family member. Phone was dropped in water, caused smudges to appear on camera. Replaced rear camera and rear camera glass. Function back to normal",Rear camera damage
Software update,Apple,2,Phone is stuck in the software reinstall phase. Could not fix it. Maybe proceed with motherboard replacement.,Other damage
Power/battery,Samsung,unknown_age,does not start,Battery issues
USB/charging port,Samsung,unknown_age,bad contact at charging socket,Charge port issue
Sim card slot,Samsung,3,Sim-card holder won't open,Other damage
Camera,Apple,4,"Camera doesn't work, wants to change battery",Battery
Screen,Apple,5,"""Frozen"" screen after fall",Screen damage
Screen,Apple,2,Change screen,Screen damage
Camera,Apple,2,Camera not working. Advice given.,Rear camera damage
Help/configuration,Samsung,2,not yet set up properly ~ ringtone with train sounds does not work,Other damage
On/Off button,Apple,4,home button defect,Other damage
Camera,Apple,2,Camera exhibit is classic shaking issue. Camera ordered was defective. Reordered camera,Rear camera damage
Power/battery,Apple,2,Fast battery drain. Ordered new battery,Battery
Screen,Apple,4,Digitiser fully broken and falling apart. Requested new screen assembly,Screen damage
Power/battery,Apple,2,Low battery health. Ordered new battery,Battery
Power/battery,Apple,7,Battery bad ~ battery bad,Battery
Screen,Apple,4,"Screen broken ~ Screen broken, streaks on LCD.",Screen damage
Other buttons,Apple,3,button stuck,Other damage
Software issue,Samsung,2,Software and/or Android ~ Device keeps restarting,Other damage
Internal damage,Samsung,unknown_age,Doesn't work anymore (fallen),Other damage
Power/battery,Apple,4,dead battery,Battery
Other,Samsung,unknown_age,4G signal problems.  Possible on-board fault to Tx/Rx radio or antenna. Not replacable.  Advise to put into re-flow,Other damage
Screen,Samsung,unknown_age,broken window√©,Display issues
Software update,Apple,unknown_age,Software defect. The firmware and software were updated via developer mode.,Other damage
Screen,Apple,unknown_age,Transfer a screen from a broken device to a replacement one.,Screen damage
Screen,Apple,3,Screen damaged,Screen damage
Screen,Samsung,unknown_age,Display replacement,Display issues
Screen,Apple,3,screen defect ~ does not turn on and freezes,Screen damage
Screen,Apple,unknown_age,Display cracked,Screen damage
Software issue,Samsung,4,password setting ~ no longer works properly,Other damage
USB/charging port,Samsung,4,no contact charger,Charge port issue
Unknown,Samsung,unknown_age,Not found. ~ No function,Other damage
Power/battery,Samsung,unknown_age,No power,Battery issues
Screen,Samsung,unknown_age,Display,Display issues
Unknown,Apple,unknown_age,Been through the washing machine.  Provided advise for repair,Other damage
Software issue,Apple,5,"1. All screws were included loose, too great a risk to replace. 2. update via iTunes failed (error 78) ~ put screen on and suspected software problem",Screen damage
Software issue,Samsung,unknown_age,suggested install malware ~ hijacked by an app with adds,Other damage
Stuck booting,Samsung,unknown_age,Suggested factory reset ~ screen black,Display issues
Power/battery,Apple,unknown_age,"Following instructions on the Internet, the guest independently replaced the old battery and the worn charging socket, for which he had previously purchased suitable replacement parts. Disassembly, replacement and assembly went smoothly. The only drawback: the Touch ID function no longer worked afterwards and now has to be reactivated again.",Screen damage
Help/configuration,Samsung,unknown_age,Transfer data ~ Transfer data,Other damage
Screen,Apple,5,want to make 1 working phone from 3 ~ screen cracked,Screen damage
Camera,Apple,3,Broken back camera and flashlight,Rear camera damage
Other,Apple,4,Cannot transfer files to new phone.  Files partly corrupted but moved to new phone and cloud,Other damage
Unknown,Apple,unknown_age,"Difficult diagnosis: charging cable missing, battery almost empty ~ ask if it can be repaired",Battery
Screen,Apple,8,Screen broken,Screen damage
Screen,Samsung,2,Screen not working.,Display issues
Screen,Samsung,unknown_age,broken cable ~ Touchpad doesn't work,Display issues
Unknown,Samsung,unknown_age,Flickered and died over a 2 month period,Other damage
Help/configuration,Apple,unknown_age,"I phone, A Nokias, A samsung and a Motorola all need re setting",Other damage
Power/battery,Samsung,unknown_age,Charging issue,Battery issues
Help/configuration,Apple,unknown_age,WhatsApp is not installed ~ WhatsApp does not work,Other damage
Screen,Apple,5,"The visitor brought the iPhone with a broken display and had also gotten the right replacement display. With good instructions online and a lot of patience, one of our “specialists” was able to give the device with a new display back to its owner at the end of the day.",Screen damage
Microphone,Apple,unknown_age,Microphone not working,Other damage
Storage problem,Apple,unknown_age,Not enough space,Other damage
Liquid damage,Apple,4,Water Damage,Other damage
Unknown,Samsung,unknown_age,he doesn't answer anymore,Other damage
Help/configuration,Samsung,20,Please set up internet,Other damage
Software update,Samsung,6,Locked admin restricted downloading apps. Reset.,Other damage
Screen,Samsung,unknown_age,"Dark screen, lcd  trouble",Display issues
Software update,Apple,2,scan disk key not recognized,Other damage
