brand,year_of_manufacture,age,repair_status,problem,fault_type
Samsung,unknown,unknown,Repairable,Mobile - Lens smashed - Self-fix.,Rear Camera Issues
Samsung,unknown,unknown,End of life,Mobile - USB port - Referred to professional.,Charge port issue
Samsung,unknown,unknown,End of life,Mobile - Bootloop - Referred to professional.,Other damage
Apple,unknown,unknown,End of life,Mobile - Screen issue -,Screen damage
Samsung,unknown,unknown,End of life,Mobile - Won't boot -,Other damage
Apple,unknown,unknown,End of life,Mobile - Screen issue -,Screen damage
Apple,unknown,unknown,Repairable,Mobile - Screen issue -,Screen damage
Apple,unknown,unknown,Repairable,Mobile - Screen issue - Self repair.,Screen damage
Apple,unknown,unknown,Repairable,Mobile - Battery dead -,Battery
Apple,unknown,unknown,End of life,Mobile - Water damaged -,Other damage
Samsung,unknown,unknown,Repairable,Mobile - Running slow -,Other damage
Apple,unknown,unknown,Repairable,Mobile - Broken home button -,Other damage
Samsung,unknown,unknown,Repairable,Mobile - Power button? -,Battery issues
Apple,unknown,unknown,Repairable,Mobile - Screen issue -,Screen damage
Apple,unknown,unknown,Repairable,Mobile - Screen issue -,Screen damage
Apple,unknown,unknown,Repairable,Mobile - Earphone jack -,Other damage
Apple,unknown,unknown,End of life,Mobile - Mic problem -,Other damage
Apple,unknown,unknown,Repairable,Dropped - no sign of life. (Was actually ok),Other damage
Samsung,unknown,unknown,Repairable,Screen cracked.,Display issues
Apple,unknown,unknown,Repairable,Spare screen purchased by the person before they came but it wasn't the right one for this phone. Advised them to come back to another party.,Screen damage
Apple,unknown,unknown,Repairable,Person came to party with cracked screen. Restarter told them they needed to buy a screen. They went away and got one and after some time trying to fit it the Restarter said it was the wrong screen.,Screen damage
Apple,unknown,unknown,Repairable,screen broken.,Screen damage
Apple,unknown,unknown,Repairable,back and front screen.,Screen damage
Apple,unknown,unknown,Repairable,screen broken.,Screen damage
Apple,unknown,unknown,Repairable,broken screen.,Screen damage
Apple,unknown,unknown,Repairable,"Failed screen replacement, not clear why. Referred to Lovefone.",Screen damage
Samsung,unknown,unknown,Repairable,"Smashed screen, doesn't switch on.",Display issues
Samsung,unknown,unknown,Repairable,"Switches on, but can't launch programmes.",Other damage
Apple,unknown,unknown,Repairable,Turn off after a few minutes.,Other damage
Apple,unknown,unknown,Repairable,Locked.,Other damage
Apple,unknown,unknown,Repairable,Speaker not working - referred to Lovefone.,Other damage
Apple,unknown,unknown,Repairable,"Home button is stuck. Neeeds to go to shop, button mislodged after screen repair.",Screen damage
Samsung,unknown,unknown,Repairable,Screen broken.,Display issues
Apple,unknown,unknown,Repairable,Condensation underneath screen.,Screen damage
Apple,unknown,unknown,Repairable,Poor battery ilfe and screen cracked.,Screen damage
Samsung,unknown,unknown,Repairable,"Got wet, won't switch on. Photos saved, half fixed.",Other damage
Samsung,unknown,unknown,End of life,Can't hear calls. Can't be fixed.,Other damage
Samsung,unknown,unknown,Repairable,"Doesn't charge, doesn't switch on. Needs new battery.",Battery issues
Apple,unknown,unknown,Repairable,Speaker crackly and broken screen.,Screen damage
Samsung,unknown,unknown,Repairable,Keeps cutting out. Didn't need SD card.,Battery issues
Apple,unknown,unknown,Repairable,Needs new battery.,Battery
Apple,unknown,unknown,Repairable,Needs software update.,Other damage
Apple,unknown,unknown,Repairable,defective power button. elegible for Apple recall.,Battery
Samsung,unknown,unknown,Repairable,shuts down. reset to factory settings.,Other damage
Apple,unknown,unknown,Repairable,"dust in the camera. advised to ask Apple to do it free of charge, as not due to usage.",Rear camera damage
Apple,unknown,unknown,Repairable,battery problems. helped her understand that her constant use of Spotify and bluetooth is the main problem.,Battery
Samsung,unknown,unknown,Repairable,"camera doesn't focus consistently. it's 6 month old from Argos, explained warranty repair.",Rear Camera Issues
Samsung,unknown,unknown,Repairable,Bad micro USB port.,Charge port issue
Apple,unknown,unknown,Repairable,Advised on purchasing part.,Other damage
Samsung,unknown,unknown,Repairable,"Micro USB damaged, needed replacing. DIY.",Charge port issue
Apple,unknown,unknown,Repairable,Incomplete update. Owner wanted to backup before reset.,Other damage
Apple,unknown,unknown,Repairable,Needed back-up before repair.,Other damage
Apple,unknown,unknown,Repairable,Battery replacement.,Battery
Apple,unknown,unknown,Repairable,"Sim reader faulty, tried to resolder it.",Other damage
Apple,unknown,unknown,Repairable,"Not charging, battery replaced.",Battery
Samsung,unknown,unknown,Repairable,Broken screen.,Display issues
Samsung,unknown,unknown,Repairable,Mic not working.,Other damage
Apple,unknown,unknown,Repairable,Screen replacement - full LCD assembly.,Screen damage
Apple,unknown,unknown,Repairable,Iphone button on and off not working.,Other damage
Apple,unknown,unknown,Repairable,Screen replaced.,Screen damage
Apple,unknown,unknown,Repairable,Screen repair.,Screen damage
Apple,unknown,unknown,Repairable,Screen repair.,Screen damage
Apple,unknown,unknown,Repairable,Screen repair.,Screen damage
Apple,unknown,unknown,Repairable,Screen repair.,Screen damage
Apple,unknown,unknown,Repairable,Screen repair.,Screen damage
Apple,unknown,unknown,Repairable,Screen repair.,Screen damage
Apple,unknown,unknown,Repairable,Screen repair.,Screen damage
Apple,unknown,unknown,Repairable,Screen repair.,Screen damage
Apple,unknown,unknown,Repairable,Screen repair.,Screen damage
Apple,unknown,unknown,Repairable,Screen repair.,Screen damage
Apple,unknown,unknown,Repairable,Screen repair.,Screen damage
Apple,unknown,unknown,Repairable,Screen repair.,Screen damage
Apple,unknown,unknown,Repairable,Screen repair.,Screen damage
Apple,unknown,unknown,Repairable,Screen repair.,Screen damage
Apple,unknown,unknown,End of life,Screen repair.,Screen damage
Apple,unknown,unknown,Repairable,Screen repair.,Screen damage
Apple,unknown,unknown,Repairable,Screen repair.,Screen damage
Apple,unknown,unknown,Repairable,Screen repair.,Screen damage
Apple,unknown,unknown,Repairable,Screen repair.,Screen damage
Apple,unknown,unknown,Repairable,Screen repair.,Screen damage
Apple,unknown,unknown,Repairable,Screen repair.,Screen damage
Apple,unknown,unknown,Repairable,Vibrator replaced.,Other damage
Apple,unknown,unknown,Repairable,Screen replaced.,Screen damage
Apple,unknown,unknown,Repairable,Screen replaced.,Screen damage
Apple,unknown,unknown,Repairable,Screen replaced.,Screen damage
Samsung,unknown,unknown,Repairable,Samsung.,Other damage
Apple,unknown,unknown,Repairable,cracked screen.,Screen damage
Samsung,unknown,unknown,Repairable,"cracked glass, screen otherwise ok. helped with sourcing spare part.",Display issues
Apple,unknown,unknown,Repairable,camera dirty.,Rear camera damage
Samsung,unknown,unknown,Repairable,screen goes black - impossible to replicate the issue.,Display issues
Apple,unknown,unknown,Repairable,"speaker doesn't work. changed speaker cable, all sorted.",Other damage
Samsung,unknown,unknown,Repairable,it blocks one specific contact. we suggested running a factory reset after backing up the phone.,Display issues
Apple,unknown,unknown,Repairable,cracked screen.,Screen damage
Samsung,unknown,unknown,End of life,doesn't switch on.,Battery issues
Samsung,unknown,unknown,Repairable,Smashed screen.,Display issues
Samsung,unknown,unknown,Repairable,Not getting power.,Battery issues
Samsung,unknown,unknown,Repairable,Storage problem.,Other damage
Apple,unknown,unknown,Repairable,Cracked LCD but appears to need a new battery.,Screen damage
Samsung,unknown,unknown,Repairable,Faulty screen?,Display issues
Samsung,unknown,unknown,Repairable,The battery had been nicked!,Battery issues
Apple,unknown,unknown,Repairable,Broken charging port.,Other damage
Apple,unknown,unknown,Repairable,Power button not working.,Battery
Apple,unknown,unknown,Repairable,Cracked screen.,Screen damage
Samsung,unknown,unknown,Repairable,Power button does not work. Repair would require expensive spare part.,Battery issues
Apple,unknown,unknown,Repairable,Memory/storage problem.,Other damage
Apple,unknown,unknown,Repairable,Screen replacement.,Screen damage
Apple,unknown,unknown,Repairable,Screen replacement.,Screen damage
Apple,unknown,unknown,Repairable,Screen replacement.,Screen damage
Apple,unknown,unknown,Repairable,Screen replacement.,Screen damage
Apple,unknown,unknown,Repairable,Screen replacement.,Screen damage
Apple,unknown,unknown,Repairable,Screen replacement.,Screen damage
Apple,unknown,unknown,Repairable,Screen replacement.,Screen damage
Apple,unknown,unknown,Repairable,Screen replacement.,Screen damage
Apple,unknown,unknown,Repairable,Screen replacement.,Screen damage
Apple,unknown,unknown,Repairable,Screen replacement.,Screen damage
Apple,unknown,unknown,Repairable,Screen replacement.,Screen damage
Samsung,unknown,unknown,Repairable,Stuck in flight mode.,Other damage
Samsung,unknown,unknown,End of life,Not working.,Other damage
Apple,unknown,unknown,Repairable,Needed help changing parts.,Other damage
Samsung,unknown,unknown,Repairable,Needs a TURP recovery install.,Other damage
Apple,unknown,unknown,End of life,Fuzzy screen.,Screen damage
Samsung,unknown,unknown,Repairable,Flight mode and IMEI number missing - recommend to contact manufacturer.,Other damage
Samsung,unknown,unknown,Repairable,"smart phone, keeps turning off, next time.",Other damage
Apple,unknown,unknown,Repairable,Battery problem?,Battery
Apple,unknown,unknown,End of life,Lock button.,Other damage
Samsung,unknown,unknown,Repairable,Not turning on and not ringing.,Battery issues
Apple,unknown,unknown,End of life,Does not turn on.,Other damage
Samsung,unknown,unknown,Repairable,Doesn't charge.,Battery issues
Apple,unknown,unknown,Repairable,cracked screen.,Screen damage
Apple,unknown,unknown,Repairable,cracked screen.,Screen damage
Apple,unknown,unknown,Repairable,cracked screen.,Screen damage
Samsung,unknown,unknown,Repairable,"Screen broken, spare part deemed to expensive by owner.",Display issues
Apple,unknown,unknown,Repairable,"Not charging - needs a new battery, diagnosed.",Battery
Apple,unknown,unknown,End of life,Screen cracked - deemed beyond repair.,Screen damage
Apple,unknown,unknown,Repairable,Buttons and screen.,Screen damage
Samsung,unknown,unknown,Repairable,Not hold a charge - new battery needed.,Battery issues
Apple,unknown,unknown,Repairable,"Battery replaced, after a poor battery replacement.",Battery
Apple,unknown,unknown,Repairable,a on/off button not working.,Other damage
Apple,unknown,unknown,Repairable,"Cracked screen, needs new one fitted. Not enough time, advice given.",Screen damage
Apple,unknown,unknown,Repairable,"Cracked screen, needs new one fitted. Not enough time, advice given.",Screen damage
Samsung,unknown,unknown,Repairable,On flight mode constantly. Advice given.,Other damage
Samsung,unknown,unknown,Repairable,Very slow. Fixed.,Other damage
Samsung,unknown,unknown,Repairable,Needs advice on connecting phone to PC. Got advice.,Other damage
Apple,unknown,unknown,Repairable,broken screen.,Screen damage
Apple,unknown,unknown,Repairable,Battery needs replacing - not applicable.,Battery
Apple,unknown,unknown,Repairable,Battery.,Battery
Apple,unknown,unknown,End of life,Doesn't charge.,Battery
Apple,unknown,unknown,Repairable,Bug.,Other damage
Apple,unknown,unknown,Repairable,Switches off.,Battery
Apple,unknown,unknown,Repairable,dead battery.,Battery
Apple,unknown,unknown,Repairable,Bad mic connection.,Other damage
Samsung,unknown,unknown,Repairable,Change screen.,Display issues
Apple,unknown,unknown,Repairable,Button does not work.,Other damage
Samsung,unknown,unknown,Repairable,Broken screen.,Display issues
Apple,unknown,unknown,Repairable,Sound does not work.,Other damage
Samsung,unknown,unknown,Repairable,Problem with the touchscreen. There is documented solution to this involving disconnecting the LCD from the circuit board.,Display issues
Apple,unknown,unknown,Repairable,Battery swap- screw stuck.,Battery
Samsung,unknown,unknown,Repairable,Doesn't switch on - dead battery.,Battery issues
Samsung,unknown,unknown,End of life,"No power - further work needed. Recommend to sell for parts, water damage.",Battery issues
Samsung,unknown,unknown,Repairable,Screen goes black/blank (intermittent fault). USB cover fixed and advice given.,Charge port issue
Samsung,unknown,unknown,Repairable,Slow and freezes. May need battery replaced.,Battery issues
Samsung,unknown,unknown,Repairable,Running slow - advice give.,Other damage
Apple,unknown,unknown,Repairable,Running slow.,Other damage
Apple,unknown,unknown,Repairable,Sound issues - new speaker needed.,Other damage
Apple,unknown,unknown,Repairable,screen replacement.,Screen damage
Apple,unknown,unknown,Repairable,"I-phone lead, fraying. Sugru used to fix.",Other damage
Samsung,unknown,unknown,Repairable,Update - advice given.,Other damage
Apple,unknown,unknown,Repairable,Screen needs replacing.,Screen damage
Apple,unknown,unknown,Repairable,Battery needs changing.,Battery
Apple,unknown,unknown,Repairable,Home button doesn't work.,Other damage
Apple,unknown,unknown,Repairable,iPhone - broken screen.,Screen damage
Apple,unknown,unknown,Repairable,iPhone - needed battery change (also needed spare battery),Battery
Apple,unknown,unknown,Repairable,Home button broken - cleaned but needs replacing.,Other damage
Apple,unknown,unknown,Repairable,water damage - advice on recovering photos.,Other damage
Samsung,unknown,unknown,Repairable,No display - needs new screen.,Display issues
Samsung,unknown,unknown,Repairable,Full - how to free space. Advice given.,Other damage
Apple,unknown,unknown,Repairable,"Cracked screen - fixable, but needs spare parts.",Screen damage
Samsung,unknown,unknown,End of life,Does not power on.,Battery issues
Samsung,unknown,unknown,End of life,Not working the lower part of the touch screen.,Display issues
Samsung,unknown,unknown,End of life,Not recognizing SIM.,Other damage
Apple,unknown,unknown,Repairable,"Asks for iTunes only. Advice given, hopefully DIY ready.",Other damage
Apple,unknown,unknown,Repairable,Cracked screen.,Screen damage
Apple,unknown,unknown,Repairable,Cracked screen.,Screen damage
Apple,unknown,unknown,Repairable,Cracked screen.,Screen damage
Apple,unknown,unknown,Repairable,Cracked screen.,Screen damage
Apple,unknown,unknown,Repairable,Cracked screen.,Screen damage
Apple,unknown,unknown,Repairable,Cracked screen.,Screen damage
Apple,unknown,unknown,Repairable,Cracked screen.,Screen damage
Apple,unknown,unknown,Repairable,Cracked screen.,Screen damage
Apple,unknown,unknown,Repairable,Cracked screen.,Screen damage
Apple,unknown,unknown,Repairable,Cracked screen.,Screen damage
Apple,unknown,unknown,Repairable,Battery.,Battery
Apple,unknown,unknown,Repairable,Not turning on.,Other damage
Apple,unknown,unknown,Repairable,Crashing.,Other damage
Apple,unknown,unknown,Repairable,Cracked screen.,Screen damage
Apple,unknown,unknown,Repairable,Battery.,Battery
Apple,unknown,unknown,Repairable,Cracked screen.,Screen damage
Apple,unknown,unknown,Repairable,Cracked screen.,Screen damage
Apple,unknown,unknown,Repairable,Cracked screen.,Screen damage
Apple,unknown,unknown,Repairable,Cracked screen.,Screen damage
Apple,unknown,unknown,Repairable,Cracked screen.,Screen damage
Apple,unknown,unknown,Repairable,Cracked screen.,Screen damage
Apple,unknown,unknown,Repairable,Battery.,Battery
Apple,unknown,unknown,Repairable,Cracked screen.,Screen damage
Apple,unknown,unknown,Repairable,Cracked screen.,Screen damage
Apple,unknown,unknown,Repairable,Cracked screen.,Screen damage
Apple,unknown,unknown,Repairable,Cracked screen.,Screen damage
Apple,unknown,unknown,Repairable,Cracked screen and home button.,Screen damage
Apple,unknown,unknown,Repairable,Cracked screen and blurry camera.,Screen damage
Apple,unknown,unknown,Repairable,Cracked screen.,Screen damage
Apple,unknown,unknown,Repairable,Cracked screen.,Screen damage
Apple,unknown,unknown,Repairable,"Cracked screen, damaged home button.",Screen damage
Apple,unknown,unknown,Repairable,Screen too dark. Fixed (needs new parts).,Screen damage
Samsung,2016,1,Repairable,Software challenge.,Other damage
Samsung,2015,1.5,Repairable,Screen does not work.,Display issues
Apple,unknown,unknown,Repairable,Water damage.,Other damage
Apple,unknown,unknown,Repairable,Button does not work.,Other damage
Apple,unknown,unknown,Repairable,Broken screen.,Screen damage
Apple,unknown,unknown,Repairable,iPhone charger.,Other damage
Apple,unknown,unknown,Repairable,Does not give a sound.,Other damage
Apple,unknown,unknown,Repairable,Change screen.,Screen damage
Samsung,unknown,unknown,Repairable,"Screen damage after drop. Tested by connecting to laptop, phone is ok just needs new screen.",Display issues
Samsung,unknown,unknown,Repairable,F-Droid installation & Clean Up device.,Other damage
Samsung,unknown,unknown,End of life,Mobile phone with massive zoom camera. Lots of dismantling & testing. Maybe get clone and swap parts?,Other damage
Apple,2014,3,Repairable,Dod had bitten on it.,Other damage
Apple,unknown,unknown,Repairable,Screen Replacement.,Screen damage
Apple,unknown,unknown,Repairable,Screen Replacement (x2),Screen damage
Apple,unknown,unknown,Repairable,Screen Replacement.,Screen damage
Apple,unknown,unknown,Repairable,Home Button Replacement.,Other damage
Apple,unknown,unknown,Repairable,Screen Replacement.,Screen damage
Apple,unknown,unknown,Repairable,Charging Port Replacement.,Other damage
Apple,unknown,unknown,Repairable,Screen Replacement.,Screen damage
Apple,unknown,unknown,Repairable,Screen Replacement.,Screen damage
Apple,unknown,unknown,Repairable,Screen Replacement.,Screen damage
Apple,unknown,unknown,Repairable,Screen Replacement.,Screen damage
Apple,unknown,unknown,Repairable,Screen Replacement.,Screen damage
Apple,unknown,unknown,Repairable,Screen Replacement.,Screen damage
Apple,unknown,unknown,Repairable,Screen Replacement.,Screen damage
Apple,unknown,unknown,Repairable,Screen Replacement.,Screen damage
Apple,unknown,unknown,Repairable,Screen Replacement (x2 - Needed to be replaced twice - faulty replacement unit?),Screen damage
Apple,unknown,unknown,Repairable,Home Button Replacement.,Other damage
Apple,unknown,unknown,Repairable,Screen Replacement.,Screen damage
Apple,unknown,unknown,Repairable,Screen Replacement.,Screen damage
Apple,unknown,unknown,Repairable,Screen Replacement.,Screen damage
Apple,unknown,unknown,Repairable,Screen Replacement.,Screen damage
Apple,unknown,unknown,Repairable,Screen Replacement.,Screen damage
Samsung,unknown,unknown,Repairable,Broken display.,Display issues
Apple,unknown,unknown,Repairable,changed flat cable.,Other damage
Apple,unknown,unknown,Repairable,changed dispay.,Screen damage
Apple,unknown,unknown,Repairable,"Screen temperamental. Half fixed, will continue to work on it at home.",Screen damage
Apple,unknown,unknown,Repairable,Glass replaced.,Screen damage
Samsung,unknown,unknown,Repairable,it was in Spanish.,Other damage
Apple,unknown,unknown,Repairable,Crack in the camera.,Rear camera damage
Apple,unknown,unknown,Repairable,iPhone 5c - Screen Repaired.,Screen damage
Apple,unknown,unknown,Repairable,iPhone 5 - Replaced Charging Port.,Other damage
Apple,unknown,unknown,Repairable,iPhone 5SE - Speaker to be Replaced - No replacement parts available.,Other damage
Apple,unknown,unknown,Repairable,iPhone 5 - Screen Replaced.,Screen damage
Apple,unknown,unknown,Repairable,iPhone 5c - Charging Port Replaced.,Other damage
Apple,unknown,unknown,Repairable,iPhone 6 - Charging Port dirty/blocked - cleaned out.,Other damage
Apple,unknown,unknown,Repairable,Broken screen.,Screen damage
Apple,unknown,unknown,Repairable,Broken screen.,Screen damage
Apple,unknown,unknown,Repairable,Broken screen & damaged home button.,Screen damage
Apple,unknown,unknown,Repairable,Broken screen.,Screen damage
Apple,unknown,unknown,Repairable,Broken screen.,Screen damage
Apple,unknown,unknown,Repairable,Broken screen.,Screen damage
Apple,unknown,unknown,Repairable,Broken screen.,Screen damage
Apple,unknown,unknown,Repairable,Broken screen.,Screen damage
Apple,unknown,unknown,Repairable,Broken screen.,Screen damage
Apple,unknown,unknown,Repairable,Broken screen.,Screen damage
Apple,unknown,unknown,Repairable,Broken screen.,Screen damage
Apple,unknown,unknown,Repairable,Broken screen.,Screen damage
Apple,unknown,unknown,Repairable,Broken screen.,Screen damage
Apple,unknown,unknown,Repairable,Battery replacement.,Battery
Apple,unknown,unknown,Repairable,Broken screen.,Screen damage
Apple,unknown,unknown,Repairable,Broken screen.,Screen damage
Apple,unknown,unknown,Repairable,Broken screen.,Screen damage
Apple,unknown,unknown,Repairable,Broken screen.,Screen damage
Apple,unknown,unknown,Repairable,Broken screen.,Screen damage
Apple,unknown,unknown,Repairable,Broken screen.,Screen damage
Apple,unknown,unknown,Repairable,Broken screen.,Screen damage
Apple,unknown,unknown,Repairable,Broken screen.,Screen damage
Samsung,unknown,unknown,Repairable,screen to find on the internet.,Display issues
Samsung,unknown,unknown,Repairable,Broken screen.,Display issues
Samsung,unknown,unknown,End of life,Motherboard? - Dead cell phone.,Other damage
Apple,unknown,unknown,Repairable,replacement screen/display is missing.,Screen damage
Apple,unknown,unknown,Repairable,replacement screen/display is missing.,Screen damage
Apple,unknown,unknown,Repairable,Humidity problem.,Other damage
Apple,unknown,unknown,End of life,Humidity problem.,Other damage
Apple,unknown,unknown,Repairable,Humidity problem.,Other damage
Apple,unknown,unknown,End of life,Humidity problem.,Other damage
Samsung,unknown,unknown,Repairable,"intermittent screen flicker, short battery life.",Battery issues
Apple,unknown,unknown,End of life,On-off switch stuck. Not fixable.,Other damage
Samsung,unknown,unknown,Repairable,Unable to create memory space by deleting data.,Other damage
Apple,unknown,unknown,Repairable,Silence button not working. Owner will come to a future event once part ordered.,Other damage
Apple,unknown,unknown,Repairable,OS issue (slow),Other damage
Samsung,unknown,unknown,Repairable,Doesn't turn on.,Battery issues
Apple,unknown,unknown,Repairable,Power botton doesn't work.,Battery
Apple,unknown,unknown,Repairable,Can't hear incoming voice.,Other damage
Apple,unknown,unknown,Repairable,Hardware problem.,Other damage
Samsung,unknown,unknown,Repairable,loosing charge.,Battery issues
Apple,unknown,unknown,Repairable,Not working.,Other damage
Samsung,unknown,unknown,Repairable,No Power.,Battery issues
Samsung,unknown,unknown,Repairable,instable power.,Battery issues
Samsung,unknown,unknown,Repairable,Turns on but freezes.,Other damage
Apple,unknown,unknown,End of life,iPhone screen and motherboard. No fix - advice given (too costly to repair),Screen damage
Apple,unknown,unknown,End of life,"doesn't turn on, on off switch gone.",Other damage
Samsung,unknown,unknown,End of life,doesn't switch on. Battery dead.,Battery issues
Apple,unknown,unknown,End of life,iPhone 6. Water damage.,Other damage
Apple,unknown,unknown,Repairable,password forgotten. Apple id needed. owner will contact apple to resolve.,Other damage
Samsung,unknown,unknown,End of life,password forgotten. factory reset bit malicious apps preventing use.,Other damage
Apple,unknown,unknown,Repairable,rear camera not working. re-connected.,Rear camera damage
Apple,unknown,unknown,Repairable,battery losing charge quickly. new battery needed.,Battery
Samsung,unknown,unknown,Repairable,asked for setting optimization for security and performance.,Other damage
Apple,2016,1,Repairable,1 year old.,Other damage
Samsung,2013,4,Repairable,No result.,Other damage
Apple,unknown,unknown,Repairable,advice given - battery.,Battery
Samsung,unknown,unknown,Repairable,broken screen.,Display issues
Apple,unknown,unknown,Repairable,Inconsistent WiFi.,Other damage
Apple,unknown,unknown,Repairable,possibly repairable but beyond the capabilities of our team.,Screen damage
Apple,unknown,unknown,Repairable,Broken screen.,Screen damage
Apple,unknown,unknown,Repairable,Battery replacement using iFixit battery replacement kit.,Battery
Apple,unknown,unknown,Repairable,"2017-10-31 Mark also had a go at Jan's iPhone problem, but no solution could be found.",Other damage
Apple,unknown,unknown,End of life,Battery drains really fast.,Battery
Apple,unknown,unknown,Repairable,Fire wire as a headphone connection not working.,Other damage
Apple,unknown,unknown,Repairable,Crashes - fixed with software cleanup and making space.,Other damage
Samsung,unknown,unknown,Repairable,Broken screen - to order spare parts.,Display issues
Apple,unknown,unknown,Repairable,Menu button does not work - to order spare parts.,Other damage
Apple,unknown,unknown,End of life,Water damage- got wet over one month ago no instantaneous drying process.,Other damage
Apple,unknown,unknown,Repairable,Not functioning well - needed data cleanup and software updates.,Other damage
Apple,unknown,unknown,Repairable,Was freezing on app.,Other damage
Samsung,unknown,unknown,End of life,broken keyboard connector.,Display issues
Apple,unknown,unknown,Repairable,Screen too dark.,Screen damage
Apple,unknown,unknown,Repairable,Not recognising ID.,Other damage
Samsung,2014,4,Repairable,"Broken screen, we opened the phone up and removed the screen. Next time participants can come with the spare parts; new screen and put it in.",Display issues
Apple,2016,2,Repairable,Broken screen - spare part available.,Screen damage
Samsung,2016,2,Repairable,Broken screen.,Display issues
Samsung,2016,1.5,Repairable,Broken screen.,Display issues
Samsung,2018,0.5,Repairable,Broken screen.,Display issues
Samsung,2017,1,Repairable,Broken screen.,Display issues
Apple,unknown,unknown,Repairable,Flickering screen.,Screen damage
Samsung,unknown,unknown,Repairable,Order screen.,Display issues
Apple,2016,2,End of life,Water damage.,Other damage
Apple,unknown,unknown,Repairable,"Broken screen, replaced with new LCD.",Screen damage
Apple,unknown,unknown,Repairable,cracked screen.,Screen damage
Apple,unknown,unknown,Repairable,"Cracked screen, under warranty, sent to Apple store.",Screen damage
Apple,unknown,unknown,Repairable,"Cracked screen, new LCD.",Screen damage
Apple,unknown,unknown,Repairable,"Cracked screen, new LCD.",Screen damage
Apple,unknown,unknown,Repairable,"Home button not working, vibration not working. Replaced both components.",Other damage
Apple,unknown,unknown,Repairable,"Cracked screen, new LCD.",Screen damage
Apple,unknown,unknown,End of life,Student purchased new phone before repair could be completed.,Other damage
Samsung,unknown,unknown,Repairable,"Parts too expensive, referred to professional.",Other damage
Apple,unknown,unknown,Repairable,cracked screen.,Screen damage
Apple,unknown,unknown,Repairable,cracked screen.,Screen damage
Apple,unknown,unknown,Repairable,dead battery.,Battery
Apple,unknown,unknown,Repairable,cracked LCD.,Screen damage
Apple,unknown,unknown,Repairable,cracked LCD.,Screen damage
Apple,unknown,unknown,Repairable,cracked LCD.,Screen damage
Apple,unknown,unknown,Repairable,cracked LCD.,Screen damage
Apple,unknown,unknown,Repairable,dead battery.,Battery
Apple,unknown,unknown,Repairable,cracked LCD.,Screen damage
Apple,unknown,unknown,Repairable,cracked LCD.,Screen damage
Apple,unknown,unknown,Repairable,Repair too challenging due to waterproof seal (didn't have adhesive remover to open phone). Referred to Apple.,Screen damage
Apple,unknown,unknown,Repairable,Repair too challenging due to waterproof seal (didn't have adhesive remover to open phone). Referred to Apple.,Screen damage
Apple,unknown,unknown,Repairable,Replaced cracked LCD.,Screen damage
Apple,unknown,unknown,Repairable,Replaced cracked LCD.,Screen damage
Apple,unknown,unknown,Repairable,Replaced cracked LCD.,Screen damage
Apple,unknown,unknown,Repairable,Replaced cracked LCD.,Screen damage
Apple,unknown,unknown,Repairable,Replaced cracked LCD & home button.,Screen damage
Apple,unknown,unknown,Repairable,Replaced cracked LCD.,Screen damage
Apple,unknown,unknown,Repairable,Replaced cracked LCD.,Screen damage
Apple,unknown,unknown,Repairable,Replaced cracked LCD.,Screen damage
Apple,unknown,unknown,Repairable,Replaced cracked LCD.,Screen damage
Apple,unknown,unknown,Repairable,Replaced cracked LCD.,Screen damage
Apple,unknown,unknown,End of life,"Water damage throughout, repair not possible.",Other damage
Apple,unknown,unknown,Repairable,Replaced cracked LCD.,Screen damage
Apple,unknown,unknown,Repairable,"Referred to Apple store, screen too difficult to open without adhesive remover or heat gun.",Screen damage
Apple,unknown,unknown,Repairable,Replaced cracked LCD.,Screen damage
Apple,unknown,unknown,Repairable,"part not in stock, unable to repair. Sent student to Apple.",Other damage
Apple,unknown,unknown,Repairable,Replaced cracked LCD.,Screen damage
Apple,unknown,unknown,Repairable,replaced cracked LCD.,Screen damage
Apple,unknown,unknown,Repairable,replaced cracked LCD.,Screen damage
Apple,unknown,unknown,Repairable,replaced cracked LCD.,Screen damage
Apple,unknown,unknown,Repairable,replaced cracked LCD.,Screen damage
Apple,unknown,unknown,Repairable,replaced cracked LCD.,Screen damage
Apple,unknown,unknown,Repairable,replaced cracked LCD.,Screen damage
Apple,unknown,unknown,Repairable,replaced cracked LCD and microphone.,Screen damage
Apple,unknown,unknown,Repairable,replaced cracked LCD.,Screen damage
Apple,unknown,unknown,Repairable,Part too expensive & device under warranty. referred to Apple.,Other damage
Apple,unknown,unknown,Repairable,"intermittent volume issues, referred to apple. No identifiable hardware issue.",Other damage
Apple,unknown,unknown,Repairable,replaced cracked LCD.,Screen damage
Apple,unknown,unknown,Repairable,cracked LCD replaced.,Screen damage
Apple,unknown,unknown,Repairable,replaced LCD.,Screen damage
Apple,unknown,unknown,Repairable,replaced battery.,Battery
Apple,unknown,unknown,Repairable,"cracked LCD replaced, home button replaced, camera replaced.",Screen damage
Apple,unknown,unknown,Repairable,cracked LCD replaced.,Screen damage
Apple,unknown,unknown,Repairable,cracked LCD replaced.,Screen damage
Apple,unknown,unknown,Repairable,"broken screen, but part was't available.",Screen damage
Apple,unknown,unknown,Repairable,cracked LCD replaced.,Screen damage
Apple,unknown,unknown,Repairable,cracked LCD replaced.,Screen damage
Apple,unknown,unknown,Repairable,cracked LCD replaced.,Screen damage
