brand,year_of_manufacture,age,repair_status,problem
Apple,unknown,unknown,Repairable,Screen replacement.
Apple,unknown,unknown,Repairable,Screen replacement.
Apple,unknown,unknown,Repairable,Screen replacement.
Apple,unknown,unknown,Repairable,Screen replacement.
Apple,unknown,unknown,Repairable,Screen replacement.
Apple,unknown,unknown,Repairable,Screen replacement.
Apple,unknown,unknown,Repairable,Screen replacement.
Apple,unknown,unknown,Repairable,Screen replacement.
Apple,unknown,unknown,Repairable,Screen replacement.
Samsung,unknown,unknown,Repairable,Stuck in flight mode.
Samsung,unknown,unknown,End of life,Not working.
Apple,unknown,unknown,Repairable,Needed help changing parts.
Samsung,unknown,unknown,Repairable,Needs a TURP recovery install.
Apple,unknown,unknown,End of life,Fuzzy screen.
Samsung,unknown,unknown,Repairable,Flight mode and IMEI number missing - recommend to contact manufacturer.
Samsung,unknown,unknown,Repairable,"smart phone, keeps turning off, next time."
Apple,unknown,unknown,Repairable,Battery problem?
Apple,unknown,unknown,End of life,Lock button.
Samsung,unknown,unknown,Repairable,Not turning on and not ringing.
Apple,unknown,unknown,End of life,Does not turn on.
Samsung,unknown,unknown,Repairable,Doesn't charge.
Apple,unknown,unknown,Repairable,cracked screen.
Apple,unknown,unknown,Repairable,cracked screen.
Apple,unknown,unknown,Repairable,cracked screen.
Samsung,unknown,unknown,Repairable,"Screen broken, spare part deemed to expensive by owner."
Apple,unknown,unknown,Repairable,"Not charging - needs a new battery, diagnosed."
Apple,unknown,unknown,End of life,Screen cracked - deemed beyond repair.
Apple,unknown,unknown,Repairable,Buttons and screen.
Samsung,unknown,unknown,Repairable,Not hold a charge - new battery needed.
Apple,unknown,unknown,Repairable,"Battery replaced, after a poor battery replacement."
Apple,unknown,unknown,Repairable,a on/off button not working.
Apple,unknown,unknown,Repairable,"Cracked screen, needs new one fitted. Not enough time, advice given."
Apple,unknown,unknown,Repairable,"Cracked screen, needs new one fitted. Not enough time, advice given."
Samsung,unknown,unknown,Repairable,On flight mode constantly. Advice given.
Samsung,unknown,unknown,Repairable,Very slow. Fixed.
Samsung,unknown,unknown,Repairable,Needs advice on connecting phone to PC. Got advice.
Apple,unknown,unknown,Repairable,broken screen.
Apple,unknown,unknown,Repairable,Battery needs replacing - not applicable.
Apple,unknown,unknown,Repairable,Battery.
Apple,unknown,unknown,End of life,Doesn't charge.
Apple,unknown,unknown,Repairable,Bug.
Apple,unknown,unknown,Repairable,Switches off.
Apple,unknown,unknown,Repairable,dead battery.
Apple,unknown,unknown,Repairable,Bad mic connection.
Samsung,unknown,unknown,Repairable,Change screen.
Apple,unknown,unknown,Repairable,Button does not work.
Samsung,unknown,unknown,Repairable,Broken screen.
Apple,unknown,unknown,Repairable,Sound does not work.
Samsung,unknown,unknown,Repairable,Problem with the touchscreen. There is documented solution to this involving disconnecting the LCD from the circuit board.
Apple,unknown,unknown,Repairable,Battery swap- screw stuck.
Samsung,unknown,unknown,Repairable,Doesn't switch on - dead battery.
Samsung,unknown,unknown,End of life,"No power - further work needed. Recommend to sell for parts, water damage."
Samsung,unknown,unknown,Repairable,Screen goes black/blank (intermittent fault). USB cover fixed and advice given.
Samsung,unknown,unknown,Repairable,Slow and freezes. May need battery replaced.
Samsung,unknown,unknown,Repairable,Running slow - advice give.
Apple,unknown,unknown,Repairable,Running slow.
Apple,unknown,unknown,Repairable,Sound issues - new speaker needed.
Apple,unknown,unknown,Repairable,screen replacement.
Apple,unknown,unknown,Repairable,"I-phone lead, fraying. Sugru used to fix."
Samsung,unknown,unknown,Repairable,Update - advice given.
Apple,unknown,unknown,Repairable,Screen needs replacing.
Apple,unknown,unknown,Repairable,Battery needs changing.
Apple,unknown,unknown,Repairable,Home button doesn't work.
Apple,unknown,unknown,Repairable,iPhone - broken screen.
Apple,unknown,unknown,Repairable,iPhone - needed battery change (also needed spare battery)
Apple,unknown,unknown,Repairable,Home button broken - cleaned but needs replacing.
Apple,unknown,unknown,Repairable,water damage - advice on recovering photos.
Samsung,unknown,unknown,Repairable,No display - needs new screen.
Samsung,unknown,unknown,Repairable,Full - how to free space. Advice given.
Apple,unknown,unknown,Repairable,"Cracked screen - fixable, but needs spare parts."
Samsung,unknown,unknown,End of life,Does not power on.
Samsung,unknown,unknown,End of life,Not working the lower part of the touch screen.
Samsung,unknown,unknown,End of life,Not recognizing SIM.
Apple,unknown,unknown,Repairable,"Asks for iTunes only. Advice given, hopefully DIY ready."
Apple,unknown,unknown,Repairable,Cracked screen.
Apple,unknown,unknown,Repairable,Cracked screen.
Apple,unknown,unknown,Repairable,Cracked screen.
Apple,unknown,unknown,Repairable,Cracked screen.
Apple,unknown,unknown,Repairable,Cracked screen.
Apple,unknown,unknown,Repairable,Cracked screen.
Apple,unknown,unknown,Repairable,Cracked screen.
Apple,unknown,unknown,Repairable,Cracked screen.
Apple,unknown,unknown,Repairable,Cracked screen.
Apple,unknown,unknown,Repairable,Cracked screen.
Apple,unknown,unknown,Repairable,Battery.
Apple,unknown,unknown,Repairable,Not turning on.
Apple,unknown,unknown,Repairable,Crashing.
Apple,unknown,unknown,Repairable,Cracked screen.
Apple,unknown,unknown,Repairable,Battery.
Apple,unknown,unknown,Repairable,Cracked screen.
Apple,unknown,unknown,Repairable,Cracked screen.
Apple,unknown,unknown,Repairable,Cracked screen.
Apple,unknown,unknown,Repairable,Cracked screen.
Apple,unknown,unknown,Repairable,Cracked screen.
Apple,unknown,unknown,Repairable,Cracked screen.
Apple,unknown,unknown,Repairable,Battery.
Apple,unknown,unknown,Repairable,Cracked screen.
Apple,unknown,unknown,Repairable,Cracked screen.
Apple,unknown,unknown,Repairable,Cracked screen.
Apple,unknown,unknown,Repairable,Cracked screen.
Apple,unknown,unknown,Repairable,Cracked screen and home button.
Apple,unknown,unknown,Repairable,Cracked screen and blurry camera.
Apple,unknown,unknown,Repairable,Cracked screen.
Apple,unknown,unknown,Repairable,Cracked screen.
Apple,unknown,unknown,Repairable,"Cracked screen, damaged home button."
Apple,unknown,unknown,Repairable,Screen too dark. Fixed (needs new parts).
Samsung,2016,1,Repairable,Software challenge.
Samsung,2015,1.5,Repairable,Screen does not work.
Apple,unknown,unknown,Repairable,Water damage.
Apple,unknown,unknown,Repairable,Button does not work.
Apple,unknown,unknown,Repairable,Broken screen.
Apple,unknown,unknown,Repairable,iPhone charger.
Apple,unknown,unknown,Repairable,Does not give a sound.
Apple,unknown,unknown,Repairable,Change screen.
Samsung,unknown,unknown,Repairable,"Screen damage after drop. Tested by connecting to laptop, phone is ok just needs new screen."
Samsung,unknown,unknown,Repairable,F-Droid installation & Clean Up device.
Samsung,unknown,unknown,End of life,Mobile phone with massive zoom camera. Lots of dismantling & testing. Maybe get clone and swap parts?
Apple,2014,3,Repairable,Dod had bitten on it.
Apple,unknown,unknown,Repairable,Screen Replacement.
Apple,unknown,unknown,Repairable,Screen Replacement (x2)
Apple,unknown,unknown,Repairable,Screen Replacement.
Apple,unknown,unknown,Repairable,Home Button Replacement.
Apple,unknown,unknown,Repairable,Screen Replacement.
Apple,unknown,unknown,Repairable,Charging Port Replacement.
Apple,unknown,unknown,Repairable,Screen Replacement.
Apple,unknown,unknown,Repairable,Screen Replacement.
Apple,unknown,unknown,Repairable,Screen Replacement.
Apple,unknown,unknown,Repairable,Screen Replacement.
Apple,unknown,unknown,Repairable,Screen Replacement.
Apple,unknown,unknown,Repairable,Screen Replacement.
Apple,unknown,unknown,Repairable,Screen Replacement.
Apple,unknown,unknown,Repairable,Screen Replacement.
Apple,unknown,unknown,Repairable,Screen Replacement (x2 - Needed to be replaced twice - faulty replacement unit?)
Apple,unknown,unknown,Repairable,Home Button Replacement.
Apple,unknown,unknown,Repairable,Screen Replacement.
Apple,unknown,unknown,Repairable,Screen Replacement.
Apple,unknown,unknown,Repairable,Screen Replacement.
Apple,unknown,unknown,Repairable,Screen Replacement.
Apple,unknown,unknown,Repairable,Screen Replacement.
Samsung,unknown,unknown,Repairable,Broken display.
Apple,unknown,unknown,Repairable,changed flat cable.
Apple,unknown,unknown,Repairable,changed dispay.
Apple,unknown,unknown,Repairable,"Screen temperamental. Half fixed, will continue to work on it at home."
Apple,unknown,unknown,Repairable,Glass replaced.
Samsung,unknown,unknown,Repairable,it was in Spanish.
Apple,unknown,unknown,Repairable,Crack in the camera.
Apple,unknown,unknown,Repairable,iPhone 5c - Screen Repaired.
Apple,unknown,unknown,Repairable,iPhone 5 - Replaced Charging Port.
Apple,unknown,unknown,Repairable,iPhone 5SE - Speaker to be Replaced - No replacement parts available.
Apple,unknown,unknown,Repairable,iPhone 5 - Screen Replaced.
Apple,unknown,unknown,Repairable,iPhone 5c - Charging Port Replaced.
Apple,unknown,unknown,Repairable,iPhone 6 - Charging Port dirty/blocked - cleaned out.
Apple,unknown,unknown,Repairable,Broken screen.
Apple,unknown,unknown,Repairable,Broken screen.
Apple,unknown,unknown,Repairable,Broken screen & damaged home button.
Apple,unknown,unknown,Repairable,Broken screen.
Apple,unknown,unknown,Repairable,Broken screen.
Apple,unknown,unknown,Repairable,Broken screen.
Apple,unknown,unknown,Repairable,Broken screen.
Apple,unknown,unknown,Repairable,Broken screen.
Apple,unknown,unknown,Repairable,Broken screen.
Apple,unknown,unknown,Repairable,Broken screen.
Apple,unknown,unknown,Repairable,Broken screen.
Apple,unknown,unknown,Repairable,Broken screen.
Apple,unknown,unknown,Repairable,Broken screen.
Apple,unknown,unknown,Repairable,Battery replacement.
Apple,unknown,unknown,Repairable,Broken screen.
Apple,unknown,unknown,Repairable,Broken screen.
Apple,unknown,unknown,Repairable,Broken screen.
Apple,unknown,unknown,Repairable,Broken screen.
Apple,unknown,unknown,Repairable,Broken screen.
Apple,unknown,unknown,Repairable,Broken screen.
Apple,unknown,unknown,Repairable,Broken screen.
Apple,unknown,unknown,Repairable,Broken screen.
Samsung,unknown,unknown,Repairable,screen to find on the internet.
Samsung,unknown,unknown,Repairable,Broken screen.
Samsung,unknown,unknown,End of life,Motherboard? - Dead cell phone.
Apple,unknown,unknown,Repairable,replacement screen/display is missing.
Apple,unknown,unknown,Repairable,replacement screen/display is missing.
Apple,unknown,unknown,Repairable,Humidity problem.
Apple,unknown,unknown,End of life,Humidity problem.
Apple,unknown,unknown,Repairable,Humidity problem.
Apple,unknown,unknown,End of life,Humidity problem.
Samsung,unknown,unknown,Repairable,"intermittent screen flicker, short battery life."
Apple,unknown,unknown,End of life,On-off switch stuck. Not fixable.
Samsung,unknown,unknown,Repairable,Unable to create memory space by deleting data.
Apple,unknown,unknown,Repairable,Silence button not working. Owner will come to a future event once part ordered.
Apple,unknown,unknown,Repairable,OS issue (slow)
Samsung,unknown,unknown,Repairable,Doesn't turn on.
Apple,unknown,unknown,Repairable,Power botton doesn't work.
Apple,unknown,unknown,Repairable,Can't hear incoming voice.
Apple,unknown,unknown,Repairable,Hardware problem.
Samsung,unknown,unknown,Repairable,loosing charge.
Apple,unknown,unknown,Repairable,Not working.
Samsung,unknown,unknown,Repairable,No Power.
Samsung,unknown,unknown,Repairable,instable power.
Samsung,unknown,unknown,Repairable,Turns on but freezes.
Apple,unknown,unknown,End of life,iPhone screen and motherboard. No fix - advice given (too costly to repair)
Apple,unknown,unknown,End of life,"doesn't turn on, on off switch gone."
Samsung,unknown,unknown,End of life,doesn't switch on. Battery dead.
Apple,unknown,unknown,End of life,iPhone 6. Water damage.
Apple,unknown,unknown,Repairable,password forgotten. Apple id needed. owner will contact apple to resolve.
Samsung,unknown,unknown,End of life,password forgotten. factory reset bit malicious apps preventing use.
Apple,unknown,unknown,Repairable,rear camera not working. re-connected.
Apple,unknown,unknown,Repairable,battery losing charge quickly. new battery needed.
Samsung,unknown,unknown,Repairable,asked for setting optimization for security and performance.
Apple,2016,1,Repairable,1 year old.
Samsung,2013,4,Repairable,No result.
Apple,unknown,unknown,Repairable,advice given - battery.
Samsung,unknown,unknown,Repairable,broken screen.
Apple,unknown,unknown,Repairable,Inconsistent WiFi.
Apple,unknown,unknown,Repairable,possibly repairable but beyond the capabilities of our team.
Apple,unknown,unknown,Repairable,Broken screen.
Apple,unknown,unknown,Repairable,Battery replacement using iFixit battery replacement kit.
Apple,unknown,unknown,Repairable,"2017-10-31 Mark also had a go at Jan's iPhone problem, but no solution could be found."
Apple,unknown,unknown,End of life,Battery drains really fast.
Apple,unknown,unknown,Repairable,Fire wire as a headphone connection not working.
Apple,unknown,unknown,Repairable,Crashes - fixed with software cleanup and making space.
Samsung,unknown,unknown,Repairable,Broken screen - to order spare parts.
Apple,unknown,unknown,Repairable,Menu button does not work - to order spare parts.
Apple,unknown,unknown,End of life,Water damage- got wet over one month ago no instantaneous drying process.
Apple,unknown,unknown,Repairable,Not functioning well - needed data cleanup and software updates.
Apple,unknown,unknown,Repairable,Was freezing on app.
Samsung,unknown,unknown,End of life,broken keyboard connector.
Apple,unknown,unknown,Repairable,Screen too dark.
Apple,unknown,unknown,Repairable,Not recognising ID.
Samsung,2014,4,Repairable,"Broken screen, we opened the phone up and removed the screen. Next time participants can come with the spare parts; new screen and put it in."
Apple,2016,2,Repairable,Broken screen - spare part available.
Samsung,2016,2,Repairable,Broken screen.
Samsung,2016,1.5,Repairable,Broken screen.
Samsung,2018,0.5,Repairable,Broken screen.
Samsung,2017,1,Repairable,Broken screen.
Apple,unknown,unknown,Repairable,Flickering screen.
Samsung,unknown,unknown,Repairable,Order screen.
Apple,2016,2,End of life,Water damage.
Apple,unknown,unknown,Repairable,"Broken screen, replaced with new LCD."
Apple,unknown,unknown,Repairable,cracked screen.
Apple,unknown,unknown,Repairable,"Cracked screen, under warranty, sent to Apple store."
Apple,unknown,unknown,Repairable,"Cracked screen, new LCD."
Apple,unknown,unknown,Repairable,"Cracked screen, new LCD."
Apple,unknown,unknown,Repairable,"Home button not working, vibration not working. Replaced both components."
Apple,unknown,unknown,Repairable,"Cracked screen, new LCD."
Apple,unknown,unknown,End of life,Student purchased new phone before repair could be completed.
Samsung,unknown,unknown,Repairable,"Parts too expensive, referred to professional."
Apple,unknown,unknown,Repairable,cracked screen.
Apple,unknown,unknown,Repairable,cracked screen.
Apple,unknown,unknown,Repairable,dead battery.
Apple,unknown,unknown,Repairable,cracked LCD.
Apple,unknown,unknown,Repairable,cracked LCD.
Apple,unknown,unknown,Repairable,cracked LCD.
Apple,unknown,unknown,Repairable,cracked LCD.
Apple,unknown,unknown,Repairable,dead battery.
Apple,unknown,unknown,Repairable,cracked LCD.
Apple,unknown,unknown,Repairable,cracked LCD.
Apple,unknown,unknown,Repairable,Repair too challenging due to waterproof seal (didn't have adhesive remover to open phone). Referred to Apple.
Apple,unknown,unknown,Repairable,Repair too challenging due to waterproof seal (didn't have adhesive remover to open phone). Referred to Apple.
Apple,unknown,unknown,Repairable,Replaced cracked LCD.
Apple,unknown,unknown,Repairable,Replaced cracked LCD.
Apple,unknown,unknown,Repairable,Replaced cracked LCD.
Apple,unknown,unknown,Repairable,Replaced cracked LCD.
Apple,unknown,unknown,Repairable,Replaced cracked LCD & home button.
Apple,unknown,unknown,Repairable,Replaced cracked LCD.
Apple,unknown,unknown,Repairable,Replaced cracked LCD.
Apple,unknown,unknown,Repairable,Replaced cracked LCD.
Apple,unknown,unknown,Repairable,Replaced cracked LCD.
Apple,unknown,unknown,Repairable,Replaced cracked LCD.
Apple,unknown,unknown,End of life,"Water damage throughout, repair not possible."
Apple,unknown,unknown,Repairable,Replaced cracked LCD.
Apple,unknown,unknown,Repairable,"Referred to Apple store, screen too difficult to open without adhesive remover or heat gun."
Apple,unknown,unknown,Repairable,Replaced cracked LCD.
Apple,unknown,unknown,Repairable,"part not in stock, unable to repair. Sent student to Apple."
Apple,unknown,unknown,Repairable,Replaced cracked LCD.
Apple,unknown,unknown,Repairable,replaced cracked LCD.
Apple,unknown,unknown,Repairable,replaced cracked LCD.
Apple,unknown,unknown,Repairable,replaced cracked LCD.
Apple,unknown,unknown,Repairable,replaced cracked LCD.
Apple,unknown,unknown,Repairable,replaced cracked LCD.
Apple,unknown,unknown,Repairable,replaced cracked LCD.
Apple,unknown,unknown,Repairable,replaced cracked LCD and microphone.
Apple,unknown,unknown,Repairable,replaced cracked LCD.
Apple,unknown,unknown,Repairable,Part too expensive & device under warranty. referred to Apple.
Apple,unknown,unknown,Repairable,"intermittent volume issues, referred to apple. No identifiable hardware issue."
Apple,unknown,unknown,Repairable,replaced cracked LCD.
Apple,unknown,unknown,Repairable,cracked LCD replaced.
Apple,unknown,unknown,Repairable,replaced LCD.
Apple,unknown,unknown,Repairable,replaced battery.
Apple,unknown,unknown,Repairable,"cracked LCD replaced, home button replaced, camera replaced."
Apple,unknown,unknown,Repairable,cracked LCD replaced.
Apple,unknown,unknown,Repairable,cracked LCD replaced.
Apple,unknown,unknown,Repairable,"broken screen, but part was't available."
Apple,unknown,unknown,Repairable,cracked LCD replaced.
Apple,unknown,unknown,Repairable,cracked LCD replaced.
Apple,unknown,unknown,Repairable,cracked LCD replaced.
Apple,unknown,unknown,Repairable,cracked LCD replaced.
Apple,unknown,unknown,Repairable,cracked LCD replaced.
Apple,unknown,unknown,Repairable,software issue resolved with reset.
Apple,unknown,unknown,Repairable,replaced cracked screen and fixed boot loop.
Apple,unknown,unknown,Repairable,cracked LCD replaced.
Apple,unknown,unknown,Repairable,cracked LCD replaced.
Apple,unknown,unknown,End of life,Does not switch on.
Samsung,unknown,unknown,Repairable,not working; reset.
Samsung,2016,2,Repairable,Overloaded.
Samsung,unknown,unknown,Repairable,"Had one of those daft curved-glass screens, smashed of course. The user did not bring any replacement parts, so was referred to a professional service."
Apple,unknown,unknown,Repairable,"No light, photo issue."
Apple,2016,2,Repairable,"Not charging - the charging port was dirty, a clean fixed the problem."
Apple,2015,3,Repairable,Needs new lightning USB port - sent to store.
Apple,2018,0.5,Repairable,Change battery.
Apple,2017,1,Repairable,Bent phone.
Apple,2014,4,Repairable,Sound button broken.
Samsung,unknown,unknown,Repairable,Fault by SD card.
Samsung,2016,1.5,Repairable,Broken screen.
Apple,2016,2,Repairable,does not power on - battery.
Samsung,unknown,unknown,End of life,Not turning on.
Apple,unknown,unknown,Repairable,Won't download.
Samsung,2017,0.8,Repairable,Screen cracked. surge and advice (new samsung screen can be replaced easily).
Samsung,unknown,unknown,Repairable,Power button not working. Temporary fix.
Apple,unknown,unknown,Repairable,No charge. Cleaned points.
Samsung,unknown,unknown,Repairable,Charging takes ages.
Samsung,unknown,unknown,Repairable,"Problem: Won't charge. Diagnosis: It was charging 20 mA, which looked like it was fully charged and trickle charging. It wasn’t recognised by a laptop (nothing appeared on the USB) so it was not a case of it being switched on with a dead screen. We tried all the Android resetting key combinations we could find with no effect. Accessing the battery requires taking out the (broken) screen and a mid plate. The phone is under warranty but Samsung refused to repair it under warranty as the screen is broken on the sides and would shatter when opening the phone. Owner was going to check with Lovephone."
Samsung,2015,3,Repairable,"Software issue causing updates from being installed. Couldn't find permanent fix, recommended updating OS to Lineage."
Samsung,2014,4,Repairable,Needed a battery replacement. No heatgun at this event.
Apple,2017,1,Repairable,Full memory.
Samsung,2015,3,End of life,Smashed screen.
Samsung,2017,1,Repairable,Nothing showing on screen (dropped)
Samsung,unknown,unknown,Repairable,Won't turn on.
Apple,2015,3,Repairable,cracked screen.
Apple,2016,2,Repairable,cracked screen.
Apple,2015,3,Repairable,Button broken. Advice given.
Samsung,2015,3,End of life,sea water damage.
Samsung,2013,5,Repairable,swollen battery.
Apple,2015,3,Repairable,needs new screen (waiting for spare part)
Samsung,2014,4,End of life,Not switch on.
Samsung,2017,1,Repairable,SD card not working. Card found to be faulty. Phone OK.
Apple,unknown,unknown,Unknown,screen replaced but now not working. Also repairer did not replace any screws! Might be repairable but no easy fault found upon inspection.
Apple,2014,4,Repairable,Broken screen/battery.
Apple,2016,2,Repairable,Broken screen.
Samsung,2010,8,End of life,"Charges, but does't start."
Apple,2013,5,End of life,Doesn't charge.
Apple,2014,4.5,Repairable,Volume button.
Apple,unknown,unknown,Repairable,replaced LCD.
Apple,unknown,unknown,Repairable,replaced LCD.
Apple,unknown,unknown,Repairable,replaced LCD.
Apple,unknown,unknown,Repairable,replaced LCD.
Apple,unknown,unknown,Repairable,replaced LCD.
Apple,unknown,unknown,Repairable,replaced LCD & home button.
Apple,unknown,unknown,Repairable,replaced LCD & home button.
Apple,unknown,unknown,Repairable,replaced LCD & microphones.
Apple,unknown,unknown,Repairable,replaced LCD & microphones.
Apple,unknown,unknown,Repairable,replaced LCD & microphones.
Samsung,unknown,unknown,Repairable,needs new battery.
Apple,unknown,unknown,Repairable,"screen, could also be logicboard."
Samsung,2015,3,Repairable,Stuck in boot mode.
Apple,unknown,unknown,Repairable,Needs screws after DIY screen replacement went slightly wrong.
Samsung,unknown,unknown,Repairable,Cracked screen.
Apple,2014,4,Repairable,Broken home button. Fixed in software.
Apple,2016,2,Repairable,Both cameras won't work after fall; guests suggests replacing hardware - no physical damage found. Suggest factory reset.
Apple,2016,2,Repairable,Cracked digitiser; LCD ok touch ok - request new screen assembly.
Samsung,2017,1,Repairable,Cracked digitiser; LCD ok touch ok - request new screen assembly.
Apple,2016,1.5,Repairable,Cracked digitiser; LCD ok touch ok - request new screen assembly.
Apple,2016,2,Repairable,Cracked digitiser; LCD ok touch ok - replaced screen assembly.
Apple,2016,2,Repairable,"Rear camera won't focus; Cracked digitiser; LCD ok touch ok - 1) go to Apple Store for free repair program, 2) request new screen assembly."
Apple,2015,3,Repairable,Phone won't charge - removed dirt from charging port.
Apple,2015,3,Repairable,"Cracked digitiser; LCD ok touch ok - request new screen assembly; silence button stuck - cleaned, works again."
Apple,2014,4,Repairable,"Display coming off, battery health low - request new screen assembly and battery."
Apple,2016,2.5,End of life,"Water damage, phone won't boot; corrosion found on board - suggest data recovery."
Apple,2017,1,Repairable,Cracked digitiser; LCD ok touch ok - request new screen assembly.
Apple,2016,2,Repairable,"Home button doesn't work, no press or touch id - guest wants to preserve touch ID, suggest to go to Apple."
Apple,2014,4,Repairable,"Cracked digitiser; LCD ok touch ok, battery health low - request new screen assembly and battery."
Apple,2016,1.5,Repairable,Cracked lens cover - request new lens cover.
Samsung,2016,2,Repairable,"Device won't connect via USB, dropped in sea water - request new I/O daughterboard and battery."
Apple,2016,2,Repairable,Cracked digitiser; LCD ok touch ok - request new screen assembly.
Apple,2015,3,Repairable,Cracked digitiser; LCD ok touch ok - request new screen assembly.
Samsung,2016,2,Repairable,Cracked digitiser; LCD ok touch ok - request new screen assembly.
Apple,2015,3,Repairable,"pink screen, runs hot and shuts off. Factory reset needed."
Apple,unknown,unknown,End of life,"dropped in toilet, not working."
Samsung,2012,6,End of life,Doesn't charge.
Samsung,2013,5,Repairable,Does not turn on. Screen damaged.
Apple,2015,3,End of life,Does not charge plus other damage.
Apple,unknown,unknown,Repairable,Low battery.
Apple,unknown,unknown,Repairable,cracked screen.
Apple,unknown,unknown,Repairable,cracked screen.
Apple,unknown,unknown,Repairable,charging problems.
Apple,unknown,unknown,Repairable,cracked screen.
Apple,unknown,unknown,Repairable,cracked screen.
Apple,unknown,unknown,Repairable,USB + battery.
Apple,unknown,unknown,Repairable,charging problems.
Apple,unknown,unknown,Repairable,cracked screen.
Apple,unknown,unknown,Repairable,Battery.
Apple,unknown,unknown,Repairable,cracked screen.
Apple,unknown,unknown,Repairable,battery replacement.
Apple,unknown,unknown,Repairable,Battery.
Apple,unknown,unknown,Repairable,screen.
Apple,unknown,unknown,Repairable,battery.
Apple,unknown,unknown,Repairable,cracked screen.
Apple,unknown,unknown,Repairable,small crack on screen.
Apple,unknown,unknown,Repairable,battery.
Apple,unknown,unknown,Repairable,battery.
Apple,unknown,unknown,Repairable,storage - help given.
Apple,unknown,unknown,Repairable,cracked screen.
Apple,unknown,unknown,Repairable,battery.
Apple,unknown,unknown,Repairable,cracked screen - no part available.
Apple,unknown,unknown,Repairable,cracked screen and slow -no part available.
Apple,unknown,unknown,Repairable,Speaker unaudible works in whatsapp Voice but no video not' swatchaft/ call.
Apple,unknown,unknown,Repairable,cracked screen - touch problems.
Samsung,unknown,unknown,Repairable,cracked screen.
Apple,unknown,unknown,Repairable,Edge cracked screen - No part available.
Samsung,unknown,unknown,Repairable,Charge port failing - No part available.
Apple,unknown,unknown,Repairable,scuffed screen.
Samsung,unknown,unknown,Repairable,cracked screen - no part available.
Apple,unknown,unknown,Repairable,cracked screen.
Apple,unknown,unknown,Repairable,lock button problem - no part available.
Apple,unknown,unknown,Repairable,cracked screen.
Apple,unknown,unknown,Repairable,water damage.
Apple,unknown,unknown,Repairable,cracked screen.
Apple,unknown,unknown,Repairable,"Home button broken - kit not available to fix, suggested local professional."
Samsung,unknown,unknown,Repairable,time/date wrong.
Apple,2015,3,End of life,not working.
Apple,2014,4,Repairable,Broken Screen - Screen Replaced and Phone Restored.
Apple,2012,6,Repairable,Broken Screen - Replaced and Phone Repaired.
Apple,2015,3,Repairable,Broken screen and bad battery.
Samsung,unknown,unknown,Repairable,Had been exposed to water and wanted to check for water damage.
Samsung,2014,4,Repairable,"Fell into water, battery dead. Just replace the battery."
Apple,2016,2,Repairable,"Home button and Touch ID not working; cracked screen 2 years ago, LCD and touch OK."
Apple,2017,1,Repairable,"Cracked Screen, Touch and LCD ok."
Apple,2016,2,Repairable,"Cracked Screen, battery dying fast."
Apple,2016,2,Repairable,"Cracked Screen, Touch and LCD ok."
Apple,2016,2,Repairable,"Phone runs slow; changed battery 1 month ago but doesn't help, 4Gb of storage left from 64."
Apple,2014,4,Repairable,Battery and Screen Assembly Replacement.
Apple,2014,4,Repairable,Screen assembly bracket missing.
Apple,2016,2,Repairable,"Charging port blocked; water evaporation signs in front-facing camera (potential water damage); no other symptoms . Dirt in charging point, dust in camera channel."
Apple,2017,1,Repairable,Cracked digitiser.
Apple,unknown,unknown,Repairable,"Cracked digitiser, low battery health."
Apple,2016,2,Repairable,Cracked digitser.
Samsung,unknown,unknown,Repairable,Screen going on and off. Fixed by turning off the screen saver.
Samsung,2013,5,Repairable,"power problem, advice given."
Apple,unknown,unknown,Repairable,doesn't charge.
Apple,2013,5,Repairable,screen.
Samsung,unknown,unknown,Repairable,broken display.
Apple,2015,4,Repairable,broken screen.
Apple,2014,5,End of life,won't turn on.
Apple,2015,4,Repairable,needs new screen.
Apple,unknown,unknown,Repairable,Replacement Battery needed.
Samsung,unknown,unknown,Repairable,Home Button not working.
Apple,unknown,unknown,Repairable,Front Camera Not Working.
Apple,unknown,unknown,Repairable,Broken Screen.
Apple,unknown,unknown,Repairable,Needs new screen.
Apple,2017,2,Repairable,Screen broken.
Apple,2017,2,Repairable,screen separating from casing.
Samsung,2012,7,Repairable,"overheats /malfunctions, battery bulging, needs new battery."
Apple,2017,2,Repairable,broken screen.
Apple,2017,2,Repairable,broken screen.
Apple,2012,7,Repairable,"3 Phones, cannabilised parts into 1."
Apple,unknown,unknown,Repairable,Audio volume poor; New speaker needed.
Apple,unknown,unknown,Repairable,Screen Broken; Replacement installed.
Apple,2015,4,Repairable,Broken screen. Swapped button and camera.
Samsung,2016,3,Repairable,screen not working right. Fixed screen (loose connector) but broke power button.
Apple,2015,3,Unknown,irregular charging.
Apple,2013,6,Repairable,Broken screen.
Samsung,2016,3,Repairable,Broken screen.
Samsung,2019,0.5,Repairable,Back glass broken. Had an offer to change for 370€.
Samsung,2017,1.5,Repairable,Broken screen and replacement digitzer.
Samsung,2017,2,Repairable,Broken screen.
Apple,2016,3,Repairable,Broken glass.
Apple,2014,5,Repairable,Looks like overheated battery.
Samsung,2015,3,End of life,Broken screen.
Apple,2014,3.5,Repairable,Battery poor.
Apple,2012,6,End of life,Broken glass and back.
Samsung,2016,2,Repairable,Broken scrren.
Apple,2015,3,Repairable,Blroken screen.
Apple,2012,7,Repairable,Dead battery. Needs replacement and specialized screwdrivers.
